1.233560	1.233560	
3.726803	3.726803	
4.992290	4.992290	
6.617687	6.617687	
8.138594	8.138594	
9.293787	9.293787	
10.460590	10.460590	
11.871202	11.871202	
12.898685	12.898685	
13.763628	13.763628	
14.895601	14.895601	
17.734240	17.734240	
18.523719	18.523719	
19.789206	19.789206	
23.469569	23.469569	
24.787302	24.787302	
26.209524	26.209524	
27.202177	27.202177	
29.135238	29.135238	
30.630222	30.630222	
32.649631	32.649631	
34.066232	34.066232	
35.784237	35.784237	
38.195472	38.195472	
39.838126	39.838126	
41.525991	41.525991	
43.387163	43.387163	
46.619725	46.619725	
48.390476	48.390476	
50.334534	50.334534	
53.431464	53.431464	
54.750109	54.750109	
56.347552	56.347552	
57.620985	57.620985	
58.992375	58.992375	
61.795436	61.795436	
62.978449	62.978449	
64.673848	64.673848	
66.904241	66.904241	
68.260561	68.260561	
69.503854	69.503854	
70.837568	70.837568	
72.156212	72.156212	
73.700910	73.700910	
75.516871	75.516871	
